,time,lat,lon,rain,MEV,HMV,vr500,vws1,vws3,mfc
128,202206280440,38.27,116.75,30.63,1.4596968,250.0,5.190000403672457,8.457233,9.817223,4.487055
129,202206280520,38.01,116.96,23.9,1.0855252,250.0,2.3200002033263445,6.8181295,10.95546,4.989157
130,202206280530,38.02,116.98,25.4,1.18470736,250.0,2.8500002808868885,7.432457,11.682996,6.8854585
131,202206280540,38.03,117.05,26.98,1.2947686999999999,250.0,2.680000150576234,7.8261924,11.261534,4.8735743
132,202206280550,37.97,117.11,40.11,1.123456,250.0,1.9000000320374966,8.087315,10.87603,4.1116877
133,202206280600,37.88,117.18,35.32,1.4776475999999998,250.0,1.7100003315135837,7.41283,10.488453,2.4180434
134,202206280610,37.88,117.33,37.99,1.3940089,250.0,2.309999894350767,7.008503,9.8901,3.436662
135,202206281040,37.81,117.42,25.53,1.6608117,250.0,2.909999806433916,6.999536,10.061665,4.87082
136,202206290820,39.27,118.24,22.59,1.4960881000000001,1000.0,1.779999933205545,4.2785845,7.259089,1.7596465
137,202206301250,38.0,116.29,29.15,1.1493924,1125.0,1.669999910518527,3.9583623,4.9659047,2.4213479
138,202206301330,37.92,116.0,20.25,1.4278268,1000.0,2.0899998489767313,4.26102,5.5715795,2.6559196
139,202207010610,38.99,118.16,22.46,1.07962274,3500.0,1.5799999237060547,3.8850603,4.3497267,1.8979658
140,202207010740,38.99,118.16,23.16,1.10765395,250.0,2.8099999763071537,3.519979,3.9291847,4.6818204
141,202207010850,38.97,118.46,20.5,1.8107172,375.0,2.7999996673315763,5.385532,5.5699553,2.6726387
142,202207022140,38.94,117.35,30.24,1.151248,125.0,3.2299994491040707,5.1989827,6.604367,4.561073
143,202207022310,39.07,117.08,27.63,1.02194754,250.0,1.4300000621005893,6.6672897,8.465739,3.2184026
144,202207022340,38.97,117.56,25.96,1.0048222999999998,250.0,1.6300000716000795,8.057215,8.609097,4.7120013
145,202207030350,36.69,114.91,23.9,1.0332972,875.0,1.0999998776242137,2.738446,11.158437,2.1003747
146,202207050920,37.68,115.04,30.09,1.0073839,250.0,2.730000065639615,7.377302,7.8794656,9.327487
147,202207050940,37.81,115.11,27.64,1.443625,375.0,3.539999946951866,7.6182275,8.318985,17.154766
148,202207051150,38.6,115.87,33.84,1.0263454,250.0,2.4100004229694605,5.406361,8.542516,2.784914
149,202207051210,38.6,115.88,23.77,1.05616295,125.0,1.9000001484528184,5.250477,8.716873,2.3848803
150,202207051310,38.61,116.38,29.83,1.17715754,750.0,1.349999918602407,6.2678013,8.018824,1.6029769
151,202207051330,38.52,116.51,22.57,1.4101654000000001,250.0,2.059999853372574,7.504463,8.5888605,3.4799864
152,202207051620,38.72,116.55,21.45,1.251954,375.0,2.379999728873372,7.435277,8.528368,3.9473815
153,202207051710,38.47,116.91,22.87,2.0299834,250.0,2.0299998577684164,9.108124,7.9985175,3.2669246
154,202207051720,38.74,116.57,22.53,1.3097565999999998,375.0,1.330000115558505,7.5675297,8.718309,2.2646887
155,202207091440,38.03,117.17,27.79,1.0936769,250.0,2.0099999383091927,5.621696,8.5226755,2.7742083
156,202207091550,39.45,117.29,28.64,1.2549786,3875.0,1.3099999632686377,5.1123075,7.475628,4.2098074
157,202207091740,39.03,117.73,22.96,2.6216466,250.0,1.9799997098743916,6.320256,7.8573375,3.8993046
158,202207091910,36.95,115.32,22.35,1.2923923,250.0,1.829999964684248,18.808462,13.942693,4.0681705
159,202207092000,36.86,115.54,25.6,1.1631111,3000.0,0.750000006519258,18.631329,11.325978,2.2303538
160,202207092010,37.59,115.64,23.46,1.1701091000000001,625.0,1.0100002400577068,15.333793,14.273871,4.9247727
161,202207092020,37.14,115.71,24.42,1.0532773,3000.0,0.3599996562115848,17.316013,13.62721,1.6216089
162,202207092200,37.68,115.85,24.7,1.2476718999999998,625.0,1.3199999229982495,10.922709,16.651058,2.2185214
163,202207111520,37.68,115.85,26.72,1.3463561,500.0,1.180000021122396,10.057653,16.157646,3.5720148
164,202207160910,37.9,116.2,27.8,1.7114347,1875.0,0.4500002833083272,10.894111,19.440432,2.5925658
165,202207221050,38.22,116.92,20.24,2.1135181,1750.0,1.0099997743964195,6.426427,18.656261,3.1997964
166,202207252050,37.55,115.89,20.72,1.0208401999999999,750.0,0.7999999797903001,8.991195,6.9426284,3.6640298
167,202207252100,37.55,115.8,22.34,1.1485242999999998,750.0,0.7100001676008105,9.700974,7.231335,2.8717742
168,202207260220,37.52,115.82,20.34,1.12450136,625.0,0.8599994471296668,9.891704,7.5162654,3.3498778
169,202207260250,37.58,115.64,35.07,1.5596929,1750.0,0.7200000109151006,8.8259735,6.614048,2.7918212
170,202207260310,37.51,115.77,41.4,1.0518421,2500.0,0.5899996613152325,8.370478,5.9293804,5.180293
171,202207270500,39.56,116.63,31.06,1.0407893,375.0,0.40000033914111555,2.4652982,5.2168317,0.61217743
172,202207270510,39.51,116.65,26.71,1.1129471,375.0,0.5600001895800233,2.4448657,4.645851,0.7732111
173,202207270530,39.5,116.61,23.82,1.0799236,375.0,0.5499997059814632,2.4337566,4.4287286,0.6897484
174,202207271520,37.57,115.74,21.47,2.9989623,625.0,1.5299997758120298,6.5947695,9.375615,1.3632708
175,202207271550,38.13,115.38,26.75,1.7587861999999999,2125.0,0.5600008880719543,8.654732,8.101713,1.8905388
176,202207271650,38.2,115.53,23.11,1.8696077,2125.0,0.5300001939758658,9.155621,8.418696,1.9338878
177,202207271700,38.2,115.62,24.76,1.9927510000000002,2125.0,0.5600008880719543,9.206873,9.038566,2.3965843
178,202207271710,38.22,115.7,24.0,1.917048,2125.0,0.3300003882031888,9.205221,9.281786,1.9278239
179,202207271720,38.27,115.72,22.28,1.777632,2125.0,0.29999943217262626,8.8632145,9.366673,1.4423271
180,202207271840,38.16,115.59,22.91,1.14282244,2500.0,0.579999468754977,8.199729,6.925291,2.3713589
181,202207272220,37.89,115.52,21.3,2.2867403,2500.0,0.9000001009553671,9.106676,6.7578573,1.6618364
182,202207272230,37.9,115.52,21.95,2.1692179,2625.0,1.0000000474974513,9.07719,6.722789,1.8646753
183,202207272340,37.21,115.86,20.38,1.04338185,2500.0,0.7399997557513416,5.7679935,9.88577,1.5470734
184,202207280020,38.1,116.12,22.74,1.0261795,2500.0,0.45999957364983857,6.4194794,6.6211157,1.0716684
185,202207280030,38.09,116.11,22.34,1.0188765,2500.0,0.4100003279745579,6.1605372,6.3256907,0.75325066
186,202207280050,38.67,117.65,20.8,1.389823,500.0,0.6800001137889922,3.7258058,9.938151,0.7409127
187,202207280330,38.32,117.72,21.78,1.4100074,375.0,0.7300000288523734,3.3923788,10.777605,0.6774592
188,202208041440,38.3,118.1,20.24,1.5458625,3875.0,3.019999945536256,4.307421,14.027737,1.1993561
189,202208071740,38.21,115.24,23.88,1.4779175,500.0,2.03999993391335,4.717719,6.290686,2.5204833
190,202208072150,37.89,114.95,29.04,1.0722078,500.0,1.4799999771639705,4.269458,6.6096654,2.8138206
191,202208072220,37.91,114.92,25.5,1.0118629,875.0,1.4500003308057785,3.8769355,6.2799006,2.5713158
192,202208072250,38.39,118.01,24.85,1.0500905,375.0,2.3599995765835047,3.8624065,5.69962,1.1994718
193,202208121220,36.82,115.4,28.32,1.8885382000000002,500.0,2.8800000436604023,6.7345715,12.30965,1.6159791
194,202208121250,36.45,115.3,21.7,2.4874427000000003,500.0,3.200000151991844,5.6699862,10.538263,1.5065192
195,202208121440,37.16,115.16,24.94,1.2041858,2000.0,2.130000852048397,7.8964252,10.594472,0.9480981
196,202208121500,36.99,115.44,27.17,1.086671,500.0,2.0500002428889275,3.7485075,6.7110405,2.3751273
197,202208121510,37.0,115.42,27.51,1.08011656,500.0,1.029999926686287,3.9702313,6.7639847,2.2131371
198,202208121530,36.91,115.25,23.34,1.2372246,500.0,1.9700003322213888,4.1133947,6.8152814,2.076821
199,202208140100,38.88,115.92,26.38,1.1672504,3500.0,1.1300001060590148,5.577011,12.611097,1.2632234
200,202208140120,38.93,115.98,20.77,1.2952008,1375.0,1.2500002048909664,5.79763,12.604869,0.99433416
201,202208140200,39.0,116.04,27.71,1.4542803,2875.0,1.3500001514330506,6.0872774,12.272583,0.5051704
202,202208140230,38.86,116.15,21.57,1.01206366,2875.0,1.3599996455013752,5.9086666,13.002915,0.6292786
203,202208141400,39.51,116.75,20.58,1.2026426000000001,500.0,2.6199999265372753,5.630753,17.300024,0.79629034
204,202208141420,38.11,116.11,29.59,1.7245515,2625.0,2.4300003424286842,8.938654,10.439637,3.4635262
205,202208141440,38.34,116.8,20.24,2.0945682000000003,2000.0,2.5200005620718002,8.44469,11.01627,4.3595777
206,202208141510,37.95,116.08,25.08,2.1635044999999997,2375.0,2.4600003380328417,9.878026,10.8104315,3.4427407
207,202208180730,38.26,116.91,20.26,2.4830483,2000.0,2.6100000832229853,9.9234495,11.223617,3.803732
208,202208181010,38.1,116.4,24.75,2.3378612,2375.0,2.5600004009902477,9.799774,10.365668,4.7476826
209,202208181040,37.9,116.25,22.54,2.1508237,2750.0,2.510000253096223,9.718936,10.827777,3.346323
210,202208181050,38.17,116.8,22.61,2.6051927000000004,2000.0,2.979999640956521,10.170212,9.808731,5.625503
211,202208181100,38.1,116.74,22.27,2.577794,2500.0,3.8599998224526644,10.083127,8.964042,5.2540016
212,202208181120,38.13,117.03,22.93,2.4523013000000002,2000.0,3.2299996819347143,10.352545,8.376693,5.9005094
213,202208181140,39.44,117.64,21.96,1.02238344,875.0,1.7900002421811223,8.788837,18.105038,2.0421436
214,202208181550,39.18,117.47,20.7,1.6079046,375.0,1.8499994184821844,8.889404,14.207838,1.3444936
215,202208181600,39.09,117.79,25.31,1.3348019999999998,250.0,1.640000380575657,9.972427,13.082722,2.5991564
216,202208181610,39.08,117.13,25.73,1.4912040000000002,750.0,1.8199996557086706,10.676145,13.022737,1.8453376
217,202208181620,39.16,117.85,23.09,1.5799698,750.0,2.0499983802437782,9.510068,12.762963,2.2739925
218,202208181630,38.99,117.71,25.27,1.5092705,250.0,2.420000033453107,9.985914,12.930954,2.8608701
219,202208181640,38.99,117.85,32.17,1.7717296,250.0,2.180000301450491,9.69105,12.733647,2.6794512
220,202208181650,38.94,117.87,44.56,1.8322248,0.0,1.9000001484528184,9.669213,12.688814,3.3062856
221,202208181700,38.88,117.84,33.12,1.8274721999999999,250.0,2.5400000158697367,10.63127,13.853353,2.9088244
222,202208181720,38.75,117.61,20.79,1.3980133000000001,125.0,2.9800001066178083,11.100718,13.720814,2.3380632
223,202208181740,39.03,117.69,20.93,1.4689828,125.0,2.760000294074416,10.721727,11.739977,1.4857583
224,202208181750,39.01,117.8,21.03,1.6558659,250.0,2.240000758320093,10.219241,11.350862,2.8871946
225,202208181800,38.96,117.87,23.41,1.7455034,250.0,2.690000459551811,9.637064,10.794371,2.197402
226,202208181810,38.91,117.89,29.15,1.6371784,250.0,2.240000292658806,8.9897995,10.013139,2.5538857
227,202208181820,38.85,117.91,22.49,1.4908568,0.0,2.7000003028661013,8.328652,10.282735,6.8026805
228,202208181830,38.62,118.24,20.18,1.1471702,250.0,2.2599997464567423,7.7715397,11.839948,7.7839413
229,202208181910,37.82,116.75,21.63,1.1327070399999999,3750.0,2.440001117065549,12.400074,12.361089,11.153835
230,202208181920,38.01,116.75,21.74,1.4911500000000002,2750.0,1.8199996557086706,12.43465,11.34353,8.924675
231,202208181950,37.87,116.83,22.49,1.5559969999999999,3125.0,2.499999711290002,11.66483,10.245058,14.370779
232,202208182020,37.92,116.99,29.9,1.6836927000000002,3125.0,2.680000616237521,11.519861,9.933343,11.741386
233,202208211630,38.18,117.29,22.64,2.1872653,2500.0,3.4099998883903027,11.099508,10.274723,8.638922
234,202208211710,38.13,116.97,31.55,2.3225765,2500.0,2.4000005796551704,11.832742,8.683405,7.163086
235,202208211720,37.95,117.28,21.65,2.2679912,2000.0,2.0100001711398363,10.857506,9.329856,5.2094207
236,202208211730,37.97,117.38,25.96,2.2621581,2000.0,2.369999885559082,10.166924,9.16564,7.295354
237,202208211740,37.85,117.4,25.4,2.1705375,2000.0,1.850000349804759,10.992027,9.636522,7.8652096
238,202208211750,37.82,117.38,24.48,1.7339144000000002,2250.0,2.3600005079060793,9.854079,8.539062,7.0059495
239,202208211830,38.38,116.31,20.87,1.7042321,1000.0,1.7999999690800905,8.791027,18.23354,4.396881
240,202208211840,38.33,116.34,21.33,1.7238259999999999,1000.0,2.3699996527284384,9.84352,18.602577,3.7700164
241,202208211900,38.42,116.76,23.49,1.1647583000000001,1625.0,1.2100000167265534,10.607973,19.580896,5.9145527
242,202208211910,38.43,116.94,22.82,1.16758216,1375.0,1.5300002414733171,9.925151,18.84683,6.231832
243,202208212310,38.08,116.39,31.65,1.2806256,750.0,1.3799999142065644,6.2586937,15.168079,1.6074356
244,202208212320,38.07,116.39,30.4,1.12750284,750.0,1.5300000086426735,6.2294736,15.357434,1.9712796
245,202208212330,38.07,116.47,29.34,1.0630647,750.0,1.8400001572445035,6.373855,15.454486,2.0848267
246,202208212340,38.04,116.49,29.12,1.10407396,750.0,1.4200001023709774,5.5932927,14.432838,2.217185
247,202208222140,37.75,114.96,36.35,3.0432548,2000.0,1.5800001565366983,5.9551353,10.395351,1.8875451
248,202208222150,37.67,115.05,41.18,2.4344005,2000.0,1.2700001243501902,5.3722715,8.990595,2.4699318
249,202208222200,37.72,115.13,54.26,2.3764398,2000.0,1.289999927394092,6.0561104,8.391389,1.9644835
250,202208222250,37.53,115.21,29.96,2.844767,2000.0,1.8600000767037272,4.23914,10.282651,2.0715551
251,202208222300,37.81,116.59,25.46,1.687759,1000.0,1.2000000569969416,3.4574583,12.982437,2.8392394
252,202208222310,37.83,115.09,24.02,1.6921262000000001,2000.0,1.2400000123307109,8.030992,5.4403076,1.5489498
253,202208222320,37.39,115.54,27.39,3.1306315,2375.0,2.130000153556466,4.8032913,10.301985,1.293122
254,202208222330,37.44,115.63,26.22,3.0231857,2250.0,2.0000000949949026,4.7773337,9.768294,1.4377186
255,202208222340,37.31,115.85,31.4,2.831627,2750.0,2.9700002633035183,4.2655315,10.3485775,1.7424409
